Photo Name,Concentration,Area,Min distance,Mean distance,Max distance,Standart deviation
30104,12.5,459595.8086257495,0,18.851518560179976,39,9.53109884932096
31248,12.5,387228.8112445822,0,60.95737704918033,95,22.078680409826458
30924,12.5,424319.52070520574,0,52.86951983298539,83,17.748318453064844
50159,12.5,411692.058862181,0,9.624227441285536,21,4.230351971457147
50126,12.5,434205.3821504756,0,21.30521642619312,36,7.126809638974878
40955,12.5,281830.446842727,0,37.286652078774615,63,14.51607790263781
22196,12.5,435725.84450768697,0,39.06189555125725,60,12.212577096867152
50335,12.5,456370.2379920897,0,14.622369878183832,29,5.984867233379085
30785,12.5,420800.1501183935,0,49.33548387096774,76,16.354912090777244
42160,12.5,202392.9759559217,0,16.842712842712842,56,14.324816542464363
30107,12.5,439287.4251400361,0,18.087155963302752,36,8.66815431628353
22146,12.5,436524.0534583498,0,12.454545454545457,23,5.541088338619701
42158,12.5,177993.9363160761,0,22.45637583892617,63,14.596695967724385
40964,12.5,238289.72767782217,0,48.06439854191981,75,16.983716984842783
40062,12.5,306028.1308950028,0,27.0,47,11.223680968949251
31113,12.5,335640.14590780786,0,82.97331910352187,123,31.04481445875692
30817,12.5,433608.9504147105,0,64.97405189620758,95,20.495930304117422
40247,12.5,180830.3173768356,0,22.12133333333333,45,8.39634513080278
41024,12.5,289306.9023225101,0,29.036452004860266,47,11.880577615220094
30078,12.5,440998.97584820696,0,19.397228637413395,40,9.561479283248152
31053,12.5,371308.0938426989,0,48.95200892857143,89,25.47549891702514
30945,12.5,448018.0347998198,0,61.27623762376238,91,20.65947220490202
31186,12.5,355943.3596728868,0,98.38696537678209,144,33.462368339141534
30980,12.5,435910.6877468813,0,45.64957264957265,71,13.931420086600555
30129,12.5,451065.5665507726,0,20.277958740499457,43,9.976456680961054
50377,12.5,416661.2197256828,0,9.804100227790434,21,4.911553164380646
31047,12.5,448799.9104323488,0,46.37406216505895,88,22.26389644692391
50175,12.5,475909.3414303681,0,19.04158215010142,38,7.761877970350893
22097,12.5,383331.7910130743,0,15.27659574468085,30,6.328499253696485
40214,12.5,146705.13751449954,0,6.369747899159663,23,4.497180342045685
22118,12.5,345847.3835749224,0,99.00872093023256,133,29.30458402495433
22200,12.5,421158.4548299632,0,20.6563614744352,39,6.926803346208216
50165,12.5,467419.9778307296,0,15.116772823779192,33,6.107247008141611
22153,12.5,394105.64757808746,0,45.15661375661376,75,14.027969836712115
31260,12.5,352178.222388458,0,81.7173219978746,122,28.18612813017613
31064,12.5,361270.71624516987,0,58.16896551724138,85,21.33612128161158
31290,12.5,376256.3100777806,0,66.80253431890179,104,24.19849441409116
50076,12.5,513075.87749430846,0,20.34313725490196,37,7.876491577434485
31074,12.5,384037.8332620046,0,78.53244078269825,114,28.49325950817041
50423,12.5,396522.31616812246,0,11.39051094890511,26,4.509471781557523
30097,12.5,447268.2391101701,0,20.608646188850965,45,10.737395673893776
50223,12.5,409941.99530429376,0,19.843529411764703,35,6.498523761029451
22195,12.5,359063.64026542363,0,26.92298288508557,43,9.474979786687795
31306,12.5,370398.9682528949,0,68.75411635565312,102,23.85703213953422
31282,12.5,410819.718873944,0,59.16233090530697,90,21.21385771091508
30911,12.5,419603.49225254095,0,67.5669687814703,102,21.63265119582791
42149,12.5,205852.4856600607,0,58.06196840826245,97,28.84044681611352
41010,12.5,266344.43120839616,0,43.09836065573771,68,13.50217857800596
30929,12.5,449402.5675786119,0,44.03215767634855,70,13.616258401440763
30136,12.5,477656.18685087,0,15.574635241301907,31,7.084687868621672
31228,12.5,340073.2819231732,0,66.66293393057111,103,25.66293581184267
31021,12.5,371367.5937125107,0,50.83236994219653,85,23.47461286787641
22088,12.5,367097.25385288993,0,66.91987513007284,92,19.789706864912976
31081,12.5,350941.88201162743,0,61.9487776484284,91,23.09361789930963
30936,12.5,461759.49736661406,0,55.71529175050302,86,17.66996871336734
50237,12.5,397739.80646357895,0,23.96,36,6.763017078198162
22148,12.5,422033.876159767,0,34.51216814159292,56,10.74698281132661
30193,12.5,410756.7054095895,0,16.806257521058964,33,7.775722613824169
30973,12.5,445936.6402679512,0,56.9949083503055,88,18.972726017292345
22170,12.5,459249.8931254257,0,21.80210526315789,48,10.857391166218894
50031,12.5,387903.07803102647,0,14.74330900243309,33,7.165139162697344
50127,12.5,422893.0182090223,0,15.048009367681498,24,5.426217000083627
30094,12.5,505115.0904139821,0,18.144251626898047,38,8.27521549375829
31198,12.5,388650.1601072945,0,66.42826780021254,101,23.00742402190692
30072,12.5,440419.1528286191,0,18.783659378596088,39,9.175775379368805
31065,12.5,387342.68016894377,0,69.45619658119658,100,22.73655806654764
50250,12.5,439168.8127243598,0,17.262975778546714,35,6.653912961263354
31080,12.5,359065.11062377057,0,75.20552486187846,109,27.48286804127698
50137,12.5,461991.74647351005,0,33.66321243523316,53,9.32540927112812
30774,12.5,394622.2305270437,0,85.80701754385964,120,25.90437862303777
30059,12.5,444892.7721355389,0,21.27023945267959,44,10.2639594433452
