iter	MultiClass
0	1.807211531
1	1.711044771
2	1.638907924
3	1.582209264
4	1.535934552
5	1.49772579
6	1.465653811
7	1.440550814
8	1.409211311
9	1.383560763
10	1.361445521
11	1.340586293
12	1.325650279
13	1.305613286
14	1.288148415
15	1.272467052
16	1.262221896
17	1.249307004
18	1.240599564
19	1.229921304
20	1.222098021
21	1.214902765
22	1.204915504
23	1.196961282
24	1.189453696
25	1.185430509
26	1.178349396
27	1.173598896
28	1.16745062
29	1.163504609
30	1.158488948
31	1.154222706
32	1.148296969
33	1.144846047
34	1.140591057
35	1.137250272
36	1.132804186
37	1.128012273
38	1.124155278
39	1.121797325
40	1.117875325
41	1.115174347
42	1.111756267
43	1.110126986
44	1.105911097
45	1.10312766
46	1.09951376
47	1.097001022
48	1.093269225
49	1.09222783
50	1.089758692
51	1.087878293
52	1.08664227
53	1.084141534
54	1.082736784
55	1.080385337
56	1.078405479
57	1.075309482
58	1.07386706
59	1.071896044
60	1.070252512
61	1.068376733
62	1.065161978
63	1.063965654
64	1.062833976
65	1.061801903
66	1.060043584
67	1.057654892
68	1.056827911
69	1.055004301
70	1.053346037
71	1.050969114
72	1.048965426
73	1.047446841
74	1.04613913
75	1.044524106
76	1.043257058
77	1.040840833
78	1.039508159
79	1.037727007
80	1.036939029
81	1.035429065
82	1.034097156
83	1.032876847
84	1.031856243
85	1.031319771
86	1.029909576
87	1.02856492
88	1.027313948
89	1.026059164
90	1.024255974
91	1.02294962
92	1.021080286
93	1.020556372
94	1.019508018
95	1.018831277
96	1.018045231
97	1.017120343
98	1.016422363
99	1.015373027
100	1.014674531
101	1.014064022
102	1.013051935
103	1.012450893
104	1.01089356
105	1.009972277
106	1.008408474
107	1.007780623
108	1.006843773
109	1.005538916
110	1.004749939
111	1.004272304
112	1.003763277
113	1.002395716
114	1.001499557
115	1.000546625
116	1.000010519
117	0.9990549498
118	0.9986336387
119	0.9976781335
120	0.9962034159
121	0.9955178203
122	0.9945353281
123	0.9936038977
124	0.993061885
125	0.99247912
126	0.9918411522
127	0.9911711484
128	0.9901846705
129	0.9899211845
130	0.9885783201
131	0.9872558357
132	0.9869451468
133	0.9867010639
134	0.9863377063
135	0.9858863927
136	0.9851787034
137	0.9849149196
138	0.9837932024
139	0.9835414666
140	0.9822706277
141	0.9817066937
142	0.981122407
143	0.980628534
144	0.9803333615
145	0.9799927639
146	0.9796742139
147	0.9795163498
148	0.9787833455
149	0.9785340728
150	0.9777785097
151	0.976597791
152	0.9759275742
153	0.9755086274
154	0.9751784408
155	0.9736382681
156	0.9726362248
157	0.9717121114
158	0.970826001
159	0.9694269724
160	0.9691131665
161	0.9679778339
162	0.9676967824
163	0.9668312188
164	0.966268711
165	0.9660111143
166	0.9657025203
167	0.9651452363
168	0.9643433085
169	0.9640143921
170	0.9632442424
171	0.9624809616
172	0.9621527333
173	0.9618349172
174	0.961091972
175	0.9608856759
176	0.9607033051
177	0.9600024266
178	0.9590506413
179	0.9581760637
180	0.9578519394
181	0.9570658935
182	0.9560525359
183	0.9554371536
184	0.9548352694
185	0.9537706671
186	0.9534665817
187	0.9533055688
188	0.952745263
189	0.95241595
190	0.9517866728
191	0.9513225055
192	0.9502759024
193	0.9497588519
194	0.9490588471
195	0.948589387
196	0.9483278805
197	0.9472230611
198	0.9470259015
199	0.9467183988
200	0.9460905126
201	0.9455163401
202	0.9452541264
203	0.9446127743
204	0.9441884669
205	0.9439261574
206	0.9435539453
207	0.9429787763
208	0.9427826621
209	0.9425155066
210	0.9422819782
211	0.9417602843
212	0.9412585166
213	0.9409192827
214	0.9400804933
215	0.9398854009
216	0.9394813967
217	0.9390920616
218	0.9385217788
219	0.9383632264
220	0.9381395305
221	0.937453182
222	0.9370550708
223	0.9366460345
224	0.9364532106
225	0.9361090139
226	0.9353932801
227	0.9346538031
228	0.9342325548
229	0.9333628165
230	0.9328014796
231	0.9325854386
232	0.9319112616
233	0.9317198174
234	0.9308970816
235	0.9303886891
236	0.9293629392
237	0.9292564689
238	0.9286004613
239	0.9282215846
240	0.92803099
241	0.9273595696
242	0.9272160176
243	0.9268977249
244	0.9266587018
245	0.926012452
246	0.9252227558
247	0.925024922
248	0.9243836534
249	0.9239537887
250	0.9235265753
251	0.923385379
252	0.923110261
253	0.9227268475
254	0.9223948273
255	0.9218035528
256	0.9216546435
257	0.9212168726
258	0.920651056
259	0.9203104394
260	0.9200662376
261	0.919654847
262	0.9192662876
263	0.919062323
264	0.9187946921
265	0.9183791022
266	0.9182576274
267	0.9176447581
268	0.9172373076
269	0.9168316678
270	0.9164418729
271	0.9162865942
272	0.9161190475
273	0.9158850359
274	0.9155377852
275	0.914920683
276	0.914228547
277	0.9138072722
278	0.9133225797
279	0.9127857208
280	0.9122578154
281	0.9115192248
282	0.9111210285
283	0.9109739183
284	0.9105594917
285	0.9103951962
286	0.9096605516
287	0.9091010385
288	0.9087648918
289	0.908656866
290	0.9083877569
291	0.9078837873
292	0.9069354647
293	0.9061424611
294	0.9054117265
295	0.9049854278
296	0.904702309
297	0.9045549021
298	0.9043558977
299	0.9037962188
300	0.9035037506
301	0.9031924703
302	0.9030423568
303	0.9026259237
304	0.9024662848
305	0.9022257115
306	0.9020956616
307	0.9018494253
308	0.9017530164
309	0.9012228749
310	0.9005280355
311	0.9002788591
312	0.9001389778
313	0.8995510575
314	0.8993463261
315	0.8992456876
316	0.8987312293
317	0.8983723037
318	0.8976722431
319	0.8971480134
320	0.896953957
321	0.8965187598
322	0.8963815375
323	0.8959622825
324	0.8956341232
325	0.8954223201
326	0.8949167846
327	0.8948100533
328	0.8941603607
329	0.8940623344
330	0.8939358115
331	0.8933581084
332	0.8932135537
333	0.8929779019
334	0.8925576242
335	0.8924810928
336	0.8923841558
337	0.8922429584
338	0.8920200373
339	0.8918054564
340	0.8917043285
341	0.891330688
342	0.8911246224
343	0.8910243102
344	0.8903368572
345	0.8899890238
346	0.8899090397
347	0.8898050184
348	0.8892035697
349	0.8887880392
350	0.8885849544
351	0.8884798153
352	0.8879731545
353	0.8872051598
354	0.8869380187
355	0.8867036599
356	0.8861724787
357	0.8860326374
358	0.8855832777
359	0.8854834429
360	0.8850777931
361	0.8849882241
362	0.8849042529
363	0.8845974819
364	0.8843988469
365	0.8842059956
366	0.8837083657
367	0.8835145044
368	0.8833090926
369	0.8830307303
370	0.8826820988
371	0.8823804194
372	0.8820155987
373	0.8819074652
374	0.8815348039
375	0.8811501542
376	0.8808105268
377	0.8806693208
378	0.8800560712
379	0.879883454
380	0.8796870585
381	0.8793386928
382	0.879159616
383	0.8790763298
384	0.8786323851
385	0.8781010019
386	0.8776591942
387	0.8772576215
388	0.8770348667
389	0.8765057403
390	0.8761363228
391	0.8757836069
392	0.8756896951
393	0.8755431373
394	0.8754854085
395	0.8750933228
396	0.8747182152
397	0.8745712887
398	0.8741171929
399	0.8740199903
400	0.8737980335
401	0.8736919306
402	0.873216713
403	0.8731028711
404	0.8729927727
405	0.8728351117
406	0.8725115558
407	0.8722148124
408	0.8717271433
409	0.8711794575
410	0.8709388067
411	0.8706047921
412	0.8704046282
413	0.8702458052
414	0.8696945634
415	0.8691600997
416	0.868771773
417	0.8684462495
418	0.8683034002
419	0.8679195522
420	0.8678506064
421	0.8677762597
422	0.8673572816
423	0.8671867108
424	0.8670144251
425	0.8668686067
426	0.8666008159
427	0.8665241496
428	0.8662238302
429	0.8660287729
430	0.8658317897
431	0.8652243215
432	0.8651070094
433	0.8647919307
434	0.8642712443
435	0.8639363444
436	0.8638737771
437	0.8634356975
438	0.8630739197
439	0.8629841945
440	0.8629164892
441	0.8626256527
442	0.8621750885
443	0.8618189086
444	0.8614911253
445	0.8609851146
446	0.8605446874
447	0.8601333862
448	0.8599861636
449	0.859676529
450	0.8594275512
451	0.8590570242
452	0.858970646
453	0.8585794383
454	0.8579767238
455	0.8576240307
456	0.857393764
457	0.8571082907
458	0.8567907037
459	0.8566409286
460	0.8563295411
461	0.8561826132
462	0.8557651239
463	0.8556755374
464	0.8554411524
465	0.8553621836
466	0.8551998763
467	0.8549326305
468	0.8548696747
469	0.8547615868
470	0.8545300674
471	0.8543612767
472	0.8539711893
473	0.8538632186
474	0.85362576
475	0.8534532253
476	0.853065368
477	0.852652779
478	0.8525466169
479	0.8522848947
480	0.852056679
481	0.8515139248
482	0.8514482046
483	0.8512970413
484	0.8512253688
485	0.8510390708
486	0.8508783839
487	0.8507636983
488	0.8506584573
489	0.8505045464
490	0.8503553464
491	0.8501944235
492	0.850107754
493	0.8498510804
494	0.8494053475
495	0.849254293
496	0.8489064508
497	0.8484897464
498	0.8479882853
499	0.8474632991
500	0.8472792473
501	0.8467509153
502	0.8463855434
503	0.8460897865
504	0.8459897394
505	0.8456796132
506	0.845593051
507	0.8453322299
508	0.8452175936
509	0.845038629
510	0.844701799
511	0.8445411957
512	0.8443116369
513	0.843997614
514	0.843709567
515	0.8435958536
516	0.8434860621
517	0.8433776491
518	0.8432979972
519	0.8431433483
520	0.8428679254
521	0.8426246175
522	0.8424447635
523	0.8423913323
524	0.8419832558
525	0.8416513162
526	0.8414428267
527	0.8412239419
528	0.8410812829
529	0.8410089345
530	0.8409381978
531	0.8408582526
532	0.8407769621
533	0.840585749
534	0.8405442094
535	0.8403897458
536	0.8403421891
537	0.8399764891
538	0.8396219837
539	0.8394885685
540	0.8393877904
541	0.8393220772
542	0.8392021415
543	0.8387402192
544	0.8383033939
545	0.838202101
546	0.8381673296
547	0.8381019876
548	0.8376450753
549	0.8373191778
550	0.8372147972
551	0.8371568405
552	0.837113617
553	0.8370285468
554	0.8369401742
555	0.8368190054
556	0.8367322533
557	0.8364407927
558	0.8361767218
559	0.8358871167
560	0.8354360519
561	0.8353444397
562	0.835280218
563	0.8350685898
564	0.8348420323
565	0.8347383853
566	0.8345326087
567	0.8344308973
568	0.834326105
569	0.8340028327
570	0.8339232628
571	0.833872672
572	0.8337050295
573	0.8336545909
574	0.8335596935
575	0.8334929112
576	0.833311166
577	0.8332253511
578	0.8328651311
579	0.8327591674
580	0.8326358601
581	0.8324133568
582	0.8320497633
583	0.8317308967
584	0.8315230375
585	0.8313516229
586	0.8311760027
587	0.8310088258
588	0.8307316635
589	0.8305561148
590	0.8303040195
591	0.8302545735
592	0.8301002751
593	0.8300624769
594	0.8297045247
595	0.8294436327
596	0.8291703498
597	0.8289748948
598	0.828665066
599	0.8283527618
600	0.8283229936
601	0.8279547924
602	0.8279419825
603	0.8278231768
604	0.8274543872
605	0.8271668581
606	0.8270597642
607	0.8269802148
608	0.8269345346
609	0.826846039
610	0.8266340915
611	0.8264245959
612	0.8261297891
613	0.8259448857
614	0.8257133603
615	0.8255246057
616	0.8253796233
617	0.8249495105
618	0.8249008555
619	0.8247952816
620	0.8245739771
621	0.8243647462
622	0.8241746505
623	0.8241176677
624	0.8240059675
625	0.8239005058
626	0.8235546047
627	0.82349598
628	0.8232972036
629	0.8230661183
630	0.8226661597
631	0.8225961078
632	0.8225245516
633	0.8223848244
634	0.8223350487
635	0.821958237
636	0.8217933484
637	0.8216749979
638	0.8213646372
639	0.821316349
640	0.8212127387
641	0.8210479648
642	0.8209184275
643	0.8207740189
644	0.8206913538
645	0.8206282101
646	0.8205125064
647	0.8201407244
648	0.820028489
649	0.819802219
650	0.8197730107
651	0.8196739313
652	0.8195798944
653	0.8195076262
654	0.819270508
655	0.8191356244
656	0.8189188633
657	0.8186758685
658	0.8185064873
659	0.818420268
660	0.8183213699
661	0.8182444937
662	0.8179274486
663	0.8174520047
664	0.8172974667
665	0.8171210879
666	0.8170402294
667	0.8169153936
668	0.8167249052
669	0.8166269814
670	0.8164940059
671	0.8162974944
672	0.8162009574
673	0.8161642761
674	0.8158285662
675	0.8157702163
676	0.815371429
677	0.8153067813
678	0.8152106988
679	0.8149190033
680	0.8148771114
681	0.8148419081
682	0.8147767278
683	0.8147093487
684	0.8146032317
685	0.8143675172
686	0.8143245143
687	0.8142793879
688	0.8139725105
689	0.813745313
