iter	Passed	Remaining
0	59	59854
1	66	33208
2	73	24346
3	78	19670
4	85	16938
5	91	15143
6	97	13812
7	103	12895
8	109	12091
9	116	11554
10	122	10985
11	127	10508
12	134	10213
13	140	9912
14	147	9685
15	154	9508
16	159	9241
17	166	9101
18	171	8877
19	177	8689
20	183	8560
21	189	8402
22	195	8321
23	202	8229
24	208	8143
25	217	8154
26	223	8036
27	229	7965
28	236	7911
29	241	7821
30	249	7783
31	255	7733
32	265	7781
33	271	7707
34	280	7727
35	285	7656
36	292	7618
37	300	7619
38	307	7575
39	314	7558
40	321	7518
41	330	7531
42	338	7524
43	347	7542
44	353	7512
45	363	7538
46	369	7484
47	379	7521
48	385	7473
49	393	7479
50	400	7453
51	407	7422
52	414	7403
53	420	7375
54	430	7397
55	436	7349
56	444	7356
57	451	7330
58	459	7333
59	465	7290
60	472	7265
61	479	7247
62	485	7220
63	492	7208
64	498	7175
65	506	7167
66	511	7127
67	516	7084
68	524	7077
69	530	7042
70	535	7008
71	543	6998
72	548	6964
73	556	6964
74	561	6926
75	568	6906
76	575	6894
77	581	6872
78	588	6864
79	595	6846
80	604	6860
81	612	6851
82	618	6831
83	624	6809
84	629	6776
85	637	6770
86	642	6738
87	647	6710
88	655	6707
89	660	6682
90	668	6678
91	673	6650
92	679	6630
93	686	6620
94	693	6602
95	699	6586
96	705	6569
97	711	6545
98	718	6537
99	723	6515
100	729	6497
101	736	6480
102	742	6462
103	749	6460
104	756	6447
105	764	6445
106	771	6434
107	776	6411
108	785	6421
109	792	6414
110	801	6419
111	806	6397
112	814	6396
113	822	6389
114	830	6390
115	837	6382
116	844	6370
117	851	6365
118	857	6345
119	865	6350
120	871	6334
121	879	6331
122	885	6315
123	893	6308
124	899	6293
125	904	6271
126	911	6266
127	917	6247
128	922	6231
129	930	6223
130	935	6206
131	943	6201
132	948	6182
133	953	6163
134	961	6160
135	967	6146
136	973	6133
137	979	6119
138	986	6108
139	993	6105
140	999	6088
141	1005	6075
142	1013	6072
143	1018	6053
144	1024	6041
145	1030	6029
146	1036	6014
147	1043	6004
148	1048	5989
149	1054	5977
150	1061	5967
151	1067	5952
152	1074	5946
153	1079	5931
154	1086	5924
155	1093	5916
156	1099	5904
157	1109	5910
158	1115	5900
159	1123	5900
160	1129	5883
161	1135	5873
162	1141	5861
163	1147	5847
164	1155	5845
165	1159	5827
166	1165	5814
167	1173	5811
168	1179	5798
169	1186	5791
170	1192	5781
171	1199	5774
172	1206	5765
173	1211	5753
174	1219	5748
175	1225	5736
176	1230	5719
177	1237	5716
178	1243	5702
179	1249	5693
180	1256	5684
181	1262	5672
182	1270	5673
183	1276	5659
184	1282	5649
185	1288	5640
186	1294	5628
187	1302	5627
188	1308	5615
189	1314	5606
190	1321	5595
191	1326	5583
192	1334	5580
193	1339	5565
194	1345	5554
195	1351	5544
196	1357	5531
197	1364	5527
198	1370	5516
199	1375	5503
200	1383	5499
201	1389	5490
202	1397	5486
203	1404	5481
204	1411	5471
205	1416	5460
206	1421	5446
207	1428	5440
208	1434	5429
209	1439	5416
210	1446	5409
211	1451	5397
212	1457	5385
213	1464	5378
214	1469	5365
215	1475	5354
216	1481	5344
217	1487	5335
218	1494	5331
219	1499	5318
220	1504	5302
221	1512	5299
222	1517	5287
223	1522	5276
224	1529	5266
225	1534	5254
226	1540	5247
227	1547	5240
228	1552	5228
229	1560	5223
230	1566	5213
231	1571	5201
232	1578	5196
233	1584	5185
234	1594	5190
235	1600	5181
236	1610	5183
237	1615	5171
238	1622	5165
239	1628	5156
240	1634	5146
241	1641	5142
242	1647	5131
243	1653	5122
244	1659	5114
245	1665	5103
246	1673	5100
247	1678	5090
248	1685	5084
249	1692	5077
250	1698	5067
251	1705	5062
252	1710	5050
253	1716	5040
254	1723	5036
255	1728	5024
256	1734	5014
257	1741	5008
258	1747	4998
259	1754	4994
260	1759	4982
261	1765	4972
262	1771	4965
263	1777	4956
264	1784	4948
265	1790	4939
266	1795	4929
267	1803	4926
268	1810	4919
269	1817	4914
270	1823	4906
271	1829	4895
272	1836	4889
273	1841	4880
274	1847	4871
275	1854	4864
276	1860	4855
277	1867	4850
278	1873	4842
279	1880	4836
280	1887	4830
281	1894	4822
282	1902	4820
283	1907	4810
284	1915	4804
285	1921	4796
286	1929	4792
287	1936	4786
288	1942	4778
289	1949	4773
290	1955	4764
291	1963	4761
292	1970	4755
293	1979	4753
294	1986	4748
295	1994	4744
296	2001	4737
297	2007	4730
298	2016	4726
299	2023	4720
300	2032	4718
301	2038	4710
302	2047	4709
303	2053	4701
304	2060	4695
305	2067	4687
306	2074	4682
307	2081	4677
308	2088	4669
309	2097	4667
310	2104	4663
311	2111	4656
312	2117	4648
313	2127	4647
314	2133	4639
315	2141	4635
316	2148	4629
317	2156	4624
318	2163	4618
319	2170	4611
320	2177	4605
321	2184	4598
322	2190	4592
323	2197	4585
324	2206	4581
325	2213	4575
326	2220	4570
327	2226	4562
328	2234	4556
329	2242	4552
